iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
MUS,2001,156.5813835,82037.00325,0,毛里求斯,非洲
MWI,2001,2488.28077,950437.9,5.341810082,马拉维,非洲
MYS,2001,332497.4245,133004214.4,4872.015698,马来西亚,亚洲
MYT,2001,31.30269367,15838.43733,0,马约特,非洲
NAM,2001,417.5124607,91063.28684,2.172941493,纳米比亚,非洲
NCL,2001,697.9210994,270753.4151,57.00113922,新喀里多尼亚,大洋洲
NER,2001,0.150195665,25.5985313,0,尼日尔,非洲
NGA,2001,43386.49462,14437939.47,117.7598641,尼日利亚,非洲
NIC,2001,44109.79205,20267481.56,1551.181628,尼加拉瓜,北美洲
NLD,2001,736.4216234,259404.3022,17.87650657,荷兰,欧洲
NOR,2001,22445.9414,4451249.953,1066.198223,挪威,欧洲
NPL,2001,1523.194752,854431.0949,197.9901115,尼泊尔,亚洲
NZL,2001,50528.28239,20588327.67,1128.345802,新西兰,大洋洲
PAK,2001,217.7703951,72047.84426,69.84654125,巴基斯坦,亚洲
PAN,2001,18264.10741,9346874.494,508.4661028,巴拿马,北美洲
PER,2001,86013.86649,52807209.38,4890.075302,秘鲁,南美洲
PHL,2001,35165.1917,18820546.66,478.3212987,菲律宾,亚洲
PLW,2001,52.11206112,37863.09223,2.05982917,帕劳,大洋洲
PNG,2001,36005.1351,25219368.96,1185.622542,巴布亚新几内亚,大洋洲
POL,2001,19066.10208,5463951.821,232.1939354,波兰,欧洲
PRI,2001,1252.362231,529425.5089,14.1289311,波多黎各,北美洲
PRK,2001,11945.60949,2487198.872,5481.158605,朝鲜,亚洲
PRT,2001,24405.37982,6182133.427,4291.380479,葡萄牙,欧洲
PRY,2001,150238.7329,36818855.79,8501.150212,巴拉圭,南美洲
PSE,2001,2.219302278,524.3781691,0.131587685,巴勒斯坦,亚洲
REU,2001,28.61721413,14474.40628,0,留尼汪,非洲
ROU,2001,17535.52879,6763983.023,464.689065,罗马尼亚,欧洲
RUS,2001,1826602.995,288121865.7,1161207.295,俄罗斯,欧洲
RWA,2001,1516.766321,607721.864,1.691727825,卢旺达,非洲
SDN,2001,26.94295316,8160.719582,0.07558568,苏丹,非洲
SEN,2001,70.59427485,38766.04293,0,塞内加尔,非洲
SGP,2001,43.45389467,13117.24996,0,新加坡,亚洲
SLB,2001,2187.117444,1590854.33,29.80886689,所罗门群岛,大洋洲
SLE,2001,18596.4253,7045594.681,76.68178744,塞拉利昂,非洲
SLV,2001,9499.391624,3460118.979,208.9579278,萨尔瓦多,北美洲
SOM,2001,339.3039459,80100.3972,1.149427915,索马里,非洲
SRB,2001,2379.5834,938537.6062,164.4604079,塞尔维亚,欧洲
SSD,2001,4906.033993,1305421.7,38.71599202,南苏丹,非洲
STP,2001,77.22190502,46576.80546,0,圣多美和普林西比,非洲
SUR,2001,3688.947052,2674768.737,272.5337764,苏里南,南美洲
SVK,2001,3897.393159,1544277.852,92.49086124,斯洛伐克,欧洲
SVN,2001,615.4603105,255689.7686,8.13098185,斯洛文尼亚,欧洲
SWE,2001,144927.2266,27572321.17,1843.892967,瑞典,欧洲
SWZ,2001,6734.853711,3774686.993,44.10780785,斯威士兰,非洲
SXM,2001,1.318283677,1061.853049,0.439431891,荷属圣马丁,北美洲
SYC,2001,0.379574768,120.3808408,0,塞舌尔,非洲
SYR,2001,267.2352947,64831.51515,53.28465386,叙利亚,亚洲
TCA,2001,7.72720305,1369.884581,0.214612486,特克斯和凯科斯群岛,北美洲
TCD,2001,883.6264799,367991.8922,0.608254058,乍得,非洲
TGO,2001,2776.230616,742037.4164,7.624782946,多哥,非洲
THA,2001,36101.94359,18368307.09,270.4476745,泰国,亚洲
TJK,2001,61.53772785,15563.04061,9.725745092,塔吉克斯坦,亚洲
TKM,2001,46.21279329,10810.62344,4.178397935,土库曼斯坦,亚洲
TLS,2001,677.4261599,387975.2721,43.3293014,东帝汶,亚洲
TTO,2001,1829.096035,873445.1052,71.82454004,特立尼达和多巴哥,北美洲
TUN,2001,230.6704347,59031.88712,52.70826183,突尼斯,非洲
TUR,2001,22910.00549,5258788.193,2106.725159,土耳其,亚洲
TWN,2001,1159.068116,587435.9594,19.98592869,台湾,亚洲
TZA,2001,82214.20404,29303449.8,510.3202299,坦桑尼亚,非洲
UGA,2001,29658.94722,11560010.56,15.91605018,乌干达,非洲
UKR,2001,28826.3802,8938030.487,1253.868654,乌克兰,欧洲
UMI,2001,2.11971068,0,0,美国本土外小岛屿,北美洲
