iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg,umd_tree_cover_loss_from_fires__ha,国家,大洲
SDN,2002,76.10035582,19621.39429,0.529563453,苏丹,非洲
SEN,2002,164.4305544,93460.45799,0.0,塞内加尔,非洲
SLE,2002,15310.24197,5384391.598,103.0555193,塞拉利昂,非洲
SSD,2002,8148.679824,1980811.731,73.4556225,南苏丹,非洲
SUR,2002,3717.477562,2697484.576,324.3316147,苏里南,南美洲
SVK,2002,4015.732505,1737594.639,52.51125706,斯洛伐克,欧洲
SWE,2002,178264.0808,34394080.64,1452.643143,瑞典,欧洲
TCD,2002,1958.47583,587772.9197,1.749341946,乍得,非洲
TGO,2002,2020.785483,534935.6817,3.28074903,多哥,非洲
THA,2002,60882.18974,31196734.54,396.4567033,泰国,亚洲
TUR,2002,25722.22142,5932168.721,3270.287315,土耳其,亚洲
TZA,2002,85080.90089,28160740.35,172.0262989,坦桑尼亚,非洲
UGA,2002,10840.69681,3672923.278,4.535578675,乌干达,非洲
UKR,2002,27077.01971,8129073.906,1271.757947,乌克兰,欧洲
URY,2002,6870.11867,1739726.592,212.3229981,乌拉圭,南美洲
USA,2002,2038435.691,658254504.8,539364.6606,美国,北美洲
VEN,2002,90372.37708,34130931.83,3155.981334,委内瑞拉,南美洲
VNM,2002,49625.43782,23993061.27,554.3999235,越南,亚洲
ZAF,2002,47679.93414,23675554.87,1995.31127,南非,非洲
ZMB,2002,46240.24361,16580450.2,141.3802644,赞比亚,非洲
ZWE,2002,8016.170851,2843428.048,35.89755775,津巴布韦,非洲
AGO,2003,52461.54547,16510730.38,314.3572926,安哥拉,非洲
ARG,2003,249155.0069,48861652.19,20796.5148,阿根廷,南美洲
AUS,2003,373846.6091,59693292.89,251901.6694,澳大利亚,大洋洲
AUT,2003,14475.69483,5807854.171,78.01259422,奥地利,欧洲
BEN,2003,3475.926415,987160.0142,2.287282467,贝宁,非洲
BFA,2003,2.038243484,778.1502592,0.0,布基纳法索,非洲
BGD,2003,2159.457158,1024989.805,44.08836255,孟加拉国,亚洲
BLR,2003,32119.38156,9208734.056,3534.579128,白俄罗斯,欧洲
BLZ,2003,6843.896175,3020956.9,932.8154637,伯利兹,北美洲
BOL,2003,163759.0988,78095428.48,10757.08888,玻利维亚,南美洲
BRA,2003,3248526.734,1488845268.0,175365.2141,巴西,南美洲
CAF,2003,13726.63788,6836274.262,137.0785883,中非共和国,非洲
CAN,2003,1607282.58,556692945.7,899760.2474,加拿大,北美洲
CHL,2003,82843.76404,26192916.41,4354.955803,智利,南美洲
CHN,2003,261761.4952,89970955.81,81810.96858,中国,亚洲
CIV,2003,86282.29679,33321766.53,107.0015625,科特迪瓦,非洲
CMR,2003,25344.84636,13440203.95,70.89428287,喀麦隆,非洲
COD,2003,274739.9994,142689618.5,1528.219799,刚果民主共和国,非洲
COG,2003,18514.84252,9712906.693,180.6396743,刚果共和国,非洲
COL,2003,122417.1448,59678844.65,8116.580192,哥伦比亚,南美洲
CRI,2003,8260.607755,4166373.153,200.954466,哥斯达黎加,北美洲
CUB,2003,6556.683915,2121605.549,523.5295994,古巴,北美洲
CZE,2003,3925.277971,1656554.8,11.25672127,捷克共和国,欧洲
DEU,2003,6448.617531,2931442.223,39.52384517,德国,欧洲
DOM,2003,10714.00158,4247803.796,754.5437687,多米尼加共和国,北美洲
ECU,2003,13835.72643,8224250.791,1115.269983,厄瓜多尔,南美洲
ESP,2003,23315.39344,6903012.799,4575.637108,西班牙,欧洲
EST,2003,5632.561979,1366104.178,59.85160131,爱沙尼亚,欧洲
ETH,2003,13936.04122,6524728.902,9.367701742,埃塞俄比亚,非洲
FIN,2003,89696.55115,16480034.66,2006.086324,芬兰,欧洲
FRA,2003,26393.33418,9844093.413,3576.5194,法国,欧洲
GAB,2003,16845.22031,9855373.394,155.4096829,加蓬,非洲
GBR,2003,1875.16737,601649.6965,178.1904397,英国,欧洲
GHA,2003,24955.24902,10104210.86,38.99951538,加纳,非洲
GIN,2003,9229.458009,3503326.915,7.675838955,几内亚,非洲
GNB,2003,1021.877364,324497.7943,1.584468869,几内亚比绍,非洲
GRC,2003,2562.535174,593446.6709,326.3833354,希腊,欧洲
GTM,2003,98173.67565,37111592.54,8585.92961,危地马拉,北美洲
GUY,2003,7418.606943,4565139.746,2396.799014,圭亚那,南美洲
HND,2003,33624.77328,14391193.57,1920.153477,洪都拉斯,北美洲
HRV,2003,1738.980492,610922.3174,331.4288084,克罗地亚,欧洲
HUN,2003,5733.022733,2062624.719,54.26921733,匈牙利,欧洲
IDN,2003,544810.2966,427375749.2,109259.2683,印度尼西亚,亚洲
IND,2003,47750.63815,23489529.19,1465.479377,印度,亚洲
IRL,2003,2262.865182,966534.5192,87.90393302,爱尔兰,欧洲
ITA,2003,3613.191038,924772.2271,481.786509,意大利,欧洲
JPN,2003,19747.36425,7660006.073,708.5095487,日本,亚洲
KEN,2003,13552.81076,6251008.636,42.75716063,肯尼亚,非洲
KHM,2003,56839.5435,27791870.6,1488.120621,柬埔寨,亚洲
KOR,2003,3611.332973,979457.2278,112.0574511,韩国,亚洲
LAO,2003,87074.13238,43143219.88,209.2602708,老挝,亚洲
LBR,2003,21604.81357,10248231.27,165.6024942,利比里亚,非洲
LKA,2003,3149.494821,1160355.974,49.19929798,斯里兰卡,亚洲
LTU,2003,8916.009263,2416055.269,27.2252236,立陶宛,欧洲
LVA,2003,21321.4159,5722945.7,158.2203069,拉脱维亚,欧洲
MDG,2003,84247.95977,38189164.51,2742.634309,马达加斯加,非洲
MEX,2003,152559.2962,49558165.67,18559.10826,墨西哥,北美洲
MLI,2003,34.24351147,12391.21079,0.0,马里,非洲
MMR,2003,77224.46441,39571015.75,1342.571269,缅甸,亚洲
MNG,2003,38433.831,12878718.98,35626.30662,蒙古,亚洲
MOZ,2003,79643.95853,26004030.16,377.9752206,莫桑比克,非洲
MWI,2003,7112.996717,2778116.267,29.57537736,马拉维,非洲
MYS,2003,183911.2165,107979872.8,3354.358546,马来西亚,亚洲
NGA,2003,13380.62881,4540663.94,37.96709651,尼日利亚,非洲
NIC,2003,46963.69084,22436766.59,868.8429372,尼加拉瓜,北美洲
NOR,2003,14817.39184,3119137.167,599.3295727,挪威,欧洲
NPL,2003,2291.937476,1261783.94,311.4073229,尼泊尔,亚洲
NZL,2003,44798.28289,19833842.43,1066.238597,新西兰,大洋洲
PAN,2003,11283.21097,5703266.201,372.6155939,巴拿马,北美洲
PER,2003,73869.2433,45606298.52,3972.716969,秘鲁,南美洲
PHL,2003,35154.20535,18809229.48,581.3668984,菲律宾,亚洲
PNG,2003,31805.61403,23319880.24,735.5731957,巴布亚新几内亚,大洋洲
POL,2003,33292.99197,9806062.229,188.5506529,波兰,欧洲
PRK,2003,7348.877292,1916796.764,1259.443163,朝鲜,亚洲
PRT,2003,26840.33637,6095411.761,9104.653192,葡萄牙,欧洲
PRY,2003,267309.0875,71251232.67,16988.33814,巴拉圭,南美洲
ROU,2003,9427.598947,3762140.561,213.1785746,罗马尼亚,欧洲
RUS,2003,3030068.958,379573863.8,2405138.797,俄罗斯,欧洲
SDN,2003,18.66824164,5849.246318,0.07558605,苏丹,非洲
SEN,2003,37.78890445,13844.43066,0.07514659,塞内加尔,非洲
SLE,2003,9098.946831,3529335.573,11.03765246,塞拉利昂,非洲
SSD,2003,2063.178286,583119.3351,28.51369782,南苏丹,非洲
SUR,2003,4545.827243,3099404.73,705.7966983,苏里南,南美洲
SVK,2003,3750.001625,1577115.398,23.96043253,斯洛伐克,欧洲
SWE,2003,92619.4072,18776955.61,1161.085797,瑞典,欧洲
TCD,2003,193.5413761,55578.00827,0.829662601,乍得,非洲
TGO,2003,2054.056559,603957.0138,12.65950996,多哥,非洲
THA,2003,58447.9422,29846481.38,389.0901397,泰国,亚洲
TUR,2003,17743.88168,4181719.445,1252.531982,土耳其,亚洲
TZA,2003,84068.20903,27020078.5,451.5013333,坦桑尼亚,非洲
UGA,2003,11980.09565,5065186.359,9.534340021,乌干达,非洲
UKR,2003,38954.86705,11883180.94,3466.352846,乌克兰,欧洲
URY,2003,10611.51037,2946210.114,238.6613857,乌拉圭,南美洲
USA,2003,1649383.91,545215593.9,370784.4375,美国,北美洲
VEN,2003,87228.87271,36945343.85,13314.35852,委内瑞拉,南美洲
VNM,2003,43007.84845,21495654.44,828.4743665,越南,亚洲
ZAF,2003,92572.61492,50191234.59,3006.890035,南非,非洲
ZMB,2003,41954.73061,15843989.61,50.97574624,赞比亚,非洲
ZWE,2003,7312.198341,3001676.832,95.57516927,津巴布韦,非洲
AGO,2004,71273.87691,21297163.8,260.1385032,安哥拉,非洲
ARG,2004,433429.6897,86611386.43,29298.43608,阿根廷,南美洲
AUS,2004,124768.677,36491563.03,30741.14027,澳大利亚,大洋洲
AUT,2004,14599.40477,6331779.806,103.2118593,奥地利,欧洲
BEN,2004,683.6076116,180381.8086,1.985516383,贝宁,非洲
BFA,2004,8.605090964,32915.84874,0.226465867,布基纳法索,非洲
BGD,2004,4282.539726,1998466.55,73.52525985,孟加拉国,亚洲
BLR,2004,38596.68301,11491508.01,694.784968,白俄罗斯,欧洲
BLZ,2004,4312.259674,1827038.329,350.4662435,伯利兹,北美洲
BOL,2004,203251.4841,90534338.21,23256.30915,玻利维亚,南美洲
BRA,2004,3848770.79,1887603880.0,199298.6507,巴西,南美洲
CAF,2004,14588.89728,7264504.449,152.966867,中非共和国,非洲
CAN,2004,2706458.872,910616230.6,1477406.851,加拿大,北美洲
CHL,2004,85728.78243,28375261.82,4546.713735,智利,南美洲
CHN,2004,501543.7961,187309332.0,104671.7594,中国,亚洲
CIV,2004,48048.33722,18549827.73,209.1633796,科特迪瓦,非洲
CMR,2004,23003.29793,11888603.32,94.54872194,喀麦隆,非洲
COD,2004,400044.274,219119058.5,5324.243193,刚果民主共和国,非洲
COG,2004,13832.85006,6701578.365,412.4934514,刚果共和国,非洲
COL,2004,253840.0087,131694533.3,13310.62869,哥伦比亚,南美洲
CRI,2004,9767.049736,4449843.297,344.4682448,哥斯达黎加,北美洲
CUB,2004,21973.72747,6238725.461,2471.72912,古巴,北美洲
CZE,2004,13453.69086,5584765.477,50.39527407,捷克共和国,欧洲
DEU,2004,44939.9818,20318859.45,390.8111165,德国,欧洲
DOM,2004,19387.94135,7819147.877,1335.516065,多米尼加共和国,北美洲
ECU,2004,37249.86389,20396715.22,2407.788797,厄瓜多尔,南美洲
ESP,2004,67273.87562,19091421.13,19789.74684,西班牙,欧洲
EST,2004,18106.2207,4248309.024,103.7643271,爱沙尼亚,欧洲
ETH,2004,13396.26216,5971135.638,14.76538519,埃塞俄比亚,非洲
FIN,2004,146602.3462,28535263.49,1963.182146,芬兰,欧洲
FRA,2004,76134.34456,30416114.78,5940.708768,法国,欧洲
GAB,2004,9981.655614,5718254.049,105.6156764,加蓬,非洲
GBR,2004,24846.81263,9563114.824,2371.230101,英国,欧洲
GHA,2004,17625.24051,7676597.766,39.49033784,加纳,非洲
GIN,2004,17158.3261,5885725.425,10.54388961,几内亚,非洲
GNB,2004,3539.10216,1135527.578,0.452333842,几内亚比绍,非洲
GRC,2004,6813.690617,1742843.081,984.85296,希腊,欧洲
GTM,2004,56448.60918,24167736.89,3985.552304,危地马拉,北美洲
GUY,2004,4062.36701,2605371.075,480.2594945,圭亚那,南美洲
HND,2004,26455.07106,11676211.32,1544.275999,洪都拉斯,北美洲
HRV,2004,6727.12796,2384197.187,757.4714554,克罗地亚,欧洲
HUN,2004,12008.50913,4402991.093,422.4330793,匈牙利,欧洲
IDN,2004,1289042.657,976271170.4,91901.57624,印度尼西亚,亚洲
IND,2004,74129.19983,36268881.99,2086.540821,印度,亚洲
IRL,2004,6865.772989,2997066.691,297.343107,爱尔兰,欧洲
ITA,2004,17224.87734,4679665.002,1184.776035,意大利,欧洲
JPN,2004,37312.53504,14800690.28,656.2618993,日本,亚洲
KEN,2004,16988.3283,7606284.646,61.29017309,肯尼亚,非洲
KHM,2004,79250.90741,41080909.56,2177.795711,柬埔寨,亚洲
KOR,2004,11406.23474,3072498.989,1225.583146,韩国,亚洲
LAO,2004,64248.47656,32428920.88,129.1299478,老挝,亚洲
LBR,2004,6233.559719,2986125.15,16.52674782,利比里亚,非洲
LKA,2004,5599.447793,1853107.974,114.0652497,斯里兰卡,亚洲
LTU,2004,13100.96703,3633184.652,59.40313002,立陶宛,欧洲
LVA,2004,30638.90654,8119885.564,130.5432312,拉脱维亚,欧洲
MDG,2004,81845.25203,39742469.41,1813.771213,马达加斯加,非洲
MEX,2004,169841.4503,56768676.07,15886.46029,墨西哥,北美洲
MLI,2004,153.3126343,57412.25811,0.224536471,马里,非洲
MMR,2004,102186.3236,52387636.73,1309.231957,缅甸,亚洲
MNG,2004,53302.97359,16447590.59,48109.64418,蒙古,亚洲
MOZ,2004,107725.6994,33641991.88,569.0814831,莫桑比克,非洲
MWI,2004,5712.450872,2163355.014,10.11657759,马拉维,非洲
MYS,2004,351801.5405,200487329.0,5868.893568,马来西亚,亚洲
NGA,2004,14643.94795,5313680.895,52.0406016,尼日利亚,非洲
NIC,2004,21064.75244,10099536.12,459.184804,尼加拉瓜,北美洲
NOR,2004,33742.07112,7220343.938,1142.592779,挪威,欧洲
NPL,2004,2479.589152,1274451.011,283.6781112,尼泊尔,亚洲
NZL,2004,60680.50743,28232497.48,1447.972096,新西兰,大洋洲
PAN,2004,16835.99287,8710108.996,388.0631826,巴拿马,北美洲
PER,2004,101320.4688,62750206.21,5442.215774,秘鲁,南美洲
PHL,2004,48579.06243,27248182.43,674.8961278,菲律宾,亚洲
PNG,2004,58329.43331,41339426.3,2425.910532,巴布亚新几内亚,大洋洲
POL,2004,41873.83975,12728074.75,236.8998446,波兰,欧洲
PRK,2004,11358.56694,2691349.924,3747.934091,朝鲜,亚洲
PRT,2004,55314.55767,14139155.39,16059.0383,葡萄牙,欧洲
PRY,2004,247347.943,71253299.66,17031.47681,巴拉圭,南美洲
ROU,2004,18859.00772,7739249.421,805.4317939,罗马尼亚,欧洲
RUS,2004,3521017.879,566152156.4,2410024.437,俄罗斯,欧洲
SDN,2004,13.20682805,3636.96093,0.0,苏丹,非洲
SEN,2004,128.0469593,42872.35041,0.446330732,塞内加尔,非洲
SLE,2004,4019.839491,1628148.817,9.907012834,塞拉利昂,非洲
SSD,2004,10442.50618,2611388.523,78.12792073,南苏丹,非洲
SUR,2004,5423.311786,3789001.04,548.1330169,苏里南,南美洲
SVK,2004,4624.862474,2048916.997,63.29132217,斯洛伐克,欧洲
SWE,2004,271564.1661,55716514.11,2787.150638,瑞典,欧洲
TCD,2004,456.7286127,126117.3092,0.375005543,乍得,非洲
TGO,2004,2761.038164,797288.431,2.133063697,多哥,非洲
THA,2004,91835.29434,47180332.12,765.2037492,泰国,亚洲
TUR,2004,28978.04726,7331916.9,2215.871711,土耳其,亚洲
