iso,stable,loss,gain,disturb,net,change,gfw_area__ha
VGB,7322.52854,150.3974909,23.8967681,383.143236,-126.5007228,-1.610229969,16935.67071
VIR,17079.67869,895.208057,209.2410978,1703.14131,-685.9669592,-3.485960007,36215.98036
VNM,13636990.64,1650186.839,1004759.743,5231239.368,-645427.0966,-3.14560008,32927630.64
VUT,1130094.605,4005.148453,302.552144,20493.74698,-3702.596309,-0.320684999,1231898.566
XAD,212.7985592,33.87242953,41.99979896,10.10800923,8.127369434,3.165119886,23445.70262
XCA,1132.917221,285.7521031,300.2439453,0.348377637,14.49184226,1.021260023,37158195.58
XCL,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,1009.730044
XKO,393329.9319,14130.40693,9293.232272,23436.37955,-4837.174656,-1.122580051,1091980.135
XNC,28003.51642,845.9114365,1628.395563,256.7938319,782.4841266,2.688380003,331396.4845
XSP,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,187.4685474
YEM,99828.01389,28.26820131,7046.684871,3.925498438,7018.41667,7.028240204,45223814.37
ZAF,5800976.495,530016.4975,388239.9803,1280110.906,-141776.5172,-1.862759948,121970907.7
ZMB,34159461.78,3640266.872,768156.0526,1514003.688,-2872110.819,-7.305620193,75049044.84
ZWE,6028288.556,550426.9299,151988.8487,161937.625,-398438.0812,-5.910970211,39068069.68
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
